sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,47,,良好,0.8,0.39,21.5,24.9,20,12,13.6,14.7,1.1,1,93,"2023/10/28 22:00:00",0.6,14.5,22,0,121.760056,25.129167,1
汐止,新北市,49,,良好,2,0.46,5.7,24.9,24,15,28.5,31.1,2.5,0.9,43,"2023/10/28 22:00:00",0.3,15.2,23,0,121.64081,25.06624,2
萬里,新北市,37,,良好,1.3,0.23,35.4,30.9,21,11,6.4,7.1,0.6,2.5,184,"2023/10/28 22:00:00",0.2,11.4,22,1,121.689881,25.179667,3
新店,新北市,40,,良好,0,0.32,40.6,42.1,19,13,9.9,10.5,0.6,2,79,"2023/10/28 22:00:00",0.3,12.3,21,0,121.537778,24.977222,4
土城,新北市,53,細懸浮微粒,普通,0.8,0.32,44.1,44.8,17,18,9.1,9.6,0.4,1.6,307,"2023/10/28 22:00:00",0.3,16.3,21,0,121.451861,24.982528,5
板橋,新北市,42,,良好,0.6,0.38,38.7,40.3,21,16,15.1,16.1,0.9,1.7,55,"2023/10/28 22:00:00",0.4,12.9,20,0,121.458667,25.012972,6
新莊,新北市,39,,良好,0.6,0.32,40.9,42.8,21,9,11.2,11.4,0.2,3.3,70,"2023/10/28 22:00:00",0.3,11.7,19,0,121.4325,25.037972,7
菜寮,新北市,43,,良好,1.4,0.37,38.4,39.7,24,11,16.5,17.4,0.8,2.7,103,"2023/10/28 22:00:00",0.3,13.3,25,1,121.481028,25.06895,8
林口,新北市,44,,良好,0.9,0.28,42.7,47.9,22,9,11.6,12,0.4,3.9,86,"2023/10/28 22:00:00",0.2,10.3,21,1,121.36548982,25.07798949,9
淡水,新北市,38,,良好,1.3,0.26,49.6,39.5,23,12,4.8,5.1,0.3,,,"2023/10/28 22:00:00",0.3,11.7,23,1,121.449239,25.1645,10
士林,臺北市,48,,良好,2.1,0.24,48.7,49.5,21,15,8.6,9.4,0.7,1.8,147,"2023/10/28 22:00:00",0.2,14.9,16,1,121.51666356,25.10334003,11
中山,臺北市,47,,良好,1.1,0.45,26.3,28.5,22,13,23.3,25.4,2,2,115,"2023/10/28 22:00:00",0.4,14.5,25,0,121.526528,25.062361,12
萬華,臺北市,47,,良好,0.1,0.44,28.2,32.7,25,14,26.5,27.9,1.3,2,95,"2023/10/28 22:00:00",0.4,14.6,26,0,121.507972,25.046503,13
古亭,臺北市,45,,良好,1.1,0.24,46.7,49.5,21,13,6.9,7.5,0.6,1.8,51,"2023/10/28 22:00:00",0.2,12.9,21,0,121.529556,25.020608,14
松山,臺北市,48,,良好,1.8,0.45,11.6,25.8,25,13,29.5,33.7,4.1,0.5,57,"2023/10/28 22:00:00",0.3,14.4,24,1,121.578611,25.05,15
大同,臺北市,64,細懸浮微粒,普通,1.3,1.03,12.1,16.9,38,21,37.9,63,25,-,-,"2023/10/28 22:00:00",0.9,20.9,35,1,121.51342074,25.06331455,16
桃園,桃園市,43,,良好,1.3,0.3,46,46.2,21,13,8.8,9.5,0.7,2.4,66,"2023/10/28 22:00:00",0.3,12.9,19,0,121.30500531,24.9947107,17
大園,桃園市,43,,良好,1.9,0.26,43.6,46.8,16,8,12.9,13.8,0.8,3.5,58,"2023/10/28 22:00:00",0.2,10.5,18,1,121.20251473,25.06100357,18
觀音,桃園市,45,,良好,1.9,0.22,46.1,49.3,23,17,10.2,11,0.8,5.2,64,"2023/10/28 22:00:00",0.2,13.3,20,1,121.08283092,25.03556747,19
平鎮,桃園市,45,,良好,1.2,0.27,50.6,49.1,19,8,7.6,9.4,1.7,3.5,64,"2023/10/28 22:00:00",0.3,9,17,0,121.203986,24.952786,20
龍潭,桃園市,42,,良好,1.4,0.23,48.1,45.5,18,10,6.2,6.5,0.3,3.6,55,"2023/10/28 22:00:00",0.2,7.5,19,1,121.21645772,24.86400048,21
湖口,新竹縣,45,,良好,1.3,0.21,50.7,49.2,21,11,5.5,6,0.5,3,55,"2023/10/28 22:00:00",0.2,11.5,21,0,121.03886894,24.90009696,22
竹東,新竹縣,32,,良好,0.4,0.27,34,32.7,16,10,7.3,7.6,0.3,0.7,141,"2023/10/28 22:00:00",0.2,10,13,0,121.08895493,24.74091408,23
新竹,新竹市,38,,良好,0.8,0.31,43.4,41.5,15,10,11.1,11.6,0.5,1.9,53,"2023/10/28 22:00:00",0.3,6.4,14,0,120.97236752,24.8056356,24
頭份,苗栗縣,27,,良好,1.5,0.3,32.6,29.6,26,13,14,15,1,1.1,49,"2023/10/28 22:00:00",0.2,8.4,19,1,120.89869286,24.69690679,25
苗栗,苗栗縣,29,,良好,3.2,0.36,22.9,23.9,21,8,17.2,18.2,1,1.7,9,"2023/10/28 22:00:00",0.3,9,18,1,120.82011468,24.56499183,26
三義,苗栗縣,27,,良好,0.8,0.26,11.5,26.5,10,10,6,6.4,0.4,0.8,25,"2023/10/28 22:00:00",0.2,8.2,10,0,120.75956754,24.38248443,27
豐原,臺中市,49,,良好,1.2,0.36,12,30,22,16,11.9,12.9,1,0.2,71,"2023/10/28 22:00:00",0.3,15,22,1,120.74252414,24.25699731,28
沙鹿,臺中市,31,,良好,1.4,0.31,17.1,32.7,25,12,14.2,14.9,0.7,2.2,339,"2023/10/28 22:00:00",0.2,9.5,23,1,120.568794,24.225628,29
大里,臺中市,61,細懸浮微粒,普通,1,0.49,4.8,33.1,21,11,22,23.9,1.8,1.5,240,"2023/10/28 22:00:00",0.4,19.6,32,1,120.67844444,24.09961111,30
忠明,臺中市,56,細懸浮微粒,普通,1.5,0.47,6.9,30.6,21,12,18.8,19.1,0.2,1.2,345,"2023/10/28 22:00:00",0.3,17.5,28,1,120.641092,24.151958,31
西屯,臺中市,58,細懸浮微粒,普通,2.1,0.35,9.9,32.3,24,14,16.2,18.6,2.3,1.3,34,"2023/10/28 22:00:00",0.2,18.2,27,1,120.616917,24.162197,32
彰化,彰化縣,48,,良好,1.2,0.36,17.2,36.6,22,11,15.9,16,0.1,1.6,350,"2023/10/28 22:00:00",0.3,14.8,27,2,120.541519,24.066,33
線西,彰化縣,31,,良好,3.1,0.56,21.7,34.9,19,2,15.7,16.4,0.7,3,40,"2023/10/28 22:00:00",0.3,5.1,22,2,120.469061,24.131672,34
二林,彰化縣,64,細懸浮微粒,普通,4,0.43,25.3,42.4,36,17,12,13.1,1.1,0.2,20,"2023/10/28 22:00:00",0.3,20.7,41,2,120.409653,23.925175,35
南投,南投縣,79,細懸浮微粒,普通,0.9,0.39,13.2,41.9,40,20,14.1,14.6,0.5,0.6,152,"2023/10/28 22:00:00",0.3,26.8,42,1,120.685306,23.913,36
斗六,雲林縣,78,細懸浮微粒,普通,1.7,0.33,20.1,49.4,34,22,12.7,13.7,0.9,0.9,5,"2023/10/28 22:00:00",0.3,26.3,45,2,120.544994,23.711853,37
崙背,雲林縣,66,細懸浮微粒,普通,1.1,0.26,29.6,47,39,22,6.4,6.9,0.4,0.9,3,"2023/10/28 22:00:00",0.2,21.4,41,1,120.348742,23.757547,38
新港,嘉義縣,71,細懸浮微粒,普通,1.8,0.25,30.1,52.4,39,21,9.4,10.5,1,1.9,355,"2023/10/28 22:00:00",0.2,23.5,45,2,120.345531,23.554839,39
朴子,嘉義縣,55,細懸浮微粒,普通,2.4,0.24,37.9,54.8,25,10,6,6.2,0.1,0.9,354,"2023/10/28 22:00:00",0.2,17.1,33,2,120.2478,23.46538,40
臺西,雲林縣,54,臭氧八小時,普通,1.3,0.22,45.2,56.3,24,9,4.5,5.1,0.6,4.4,22,"2023/10/28 22:00:00",0.2,11.7,24,1,120.19933333,23.702175,41
嘉義,嘉義市,83,細懸浮微粒,普通,2.7,0.4,20.5,56.4,45,26,16.4,17.2,0.7,1.7,18,"2023/10/28 22:00:00",0.3,28.3,48,2,120.44125148,23.46477865,42
新營,臺南市,61,細懸浮微粒,普通,1.6,0.31,28,56.7,38,20,12.6,13.3,0.6,1.6,348,"2023/10/28 22:00:00",0.2,19.4,42,1,120.31725,23.305633,43
善化,臺南市,70,細懸浮微粒,普通,0.9,0.24,42.4,57.2,33,25,7.4,8.4,1,1.4,325,"2023/10/28 22:00:00",0.2,23.1,36,1,120.29740529,23.11337642,44
安南,臺南市,61,臭氧八小時,普通,1.1,0.27,49.6,58.2,35,18,5.5,6,0.4,1,324,"2023/10/28 22:00:00",0.2,19.2,36,1,120.2175,23.048197,45
臺南,臺南市,62,細懸浮微粒,普通,1,0.32,54.5,58.5,36,25,8.8,8.6,0,0.7,320,"2023/10/28 22:00:00",0.2,19.8,33,0,120.22085,22.99123,46
美濃,高雄市,71,臭氧八小時,普通,1.1,0.28,51,61,39,22,5.2,6,0.7,0.4,306,"2023/10/28 22:00:00",0.2,21.6,37,0,120.530542,22.883583,47
橋頭,高雄市,65,細懸浮微粒,普通,1.9,0.41,44.6,51.8,45,31,12.9,13.1,0.2,0.3,10,"2023/10/28 22:00:00",0.3,21,36,1,120.305689,22.757506,48
仁武,高雄市,50,,良好,0.6,0.28,53.2,54.1,39,14,8.5,10,1.4,1.3,313,"2023/10/28 22:00:00",0.2,14.1,33,0,120.332631,22.689056,49
鳳山,高雄市,49,,良好,1.1,0.54,46.7,47.6,35,15,14.2,15.6,1.3,0.4,287,"2023/10/28 22:00:00",0.5,15,34,1,120.357422,22.628126,50
大寮,高雄市,59,細懸浮微粒,普通,1.3,0.28,41,46.9,33,16,11.9,13,1,0.4,0,"2023/10/28 22:00:00",0.2,18.7,40,1,120.425311,22.56413611,51
林園,高雄市,71,臭氧八小時,普通,1,0.2,56.4,61.8,27,14,6.6,6.5,0,1.6,272,"2023/10/28 22:00:00",0.2,14.7,30,0,120.41175,22.4795,52
楠梓,高雄市,46,,良好,1.2,0.32,44.7,50,40,12,11.2,11.6,0.3,1.1,44,"2023/10/28 22:00:00",0.2,14,35,1,120.328289,22.733667,53
左營,高雄市,67,臭氧八小時,普通,1.4,0.24,57.3,60.4,30,16,6.6,7.1,0.5,1.1,325,"2023/10/28 22:00:00",0.2,16.5,29,1,120.292917,22.674861,54
前金,高雄市,61,臭氧八小時,普通,1.1,0.32,54.9,58.8,36,15,7.7,8.2,0.5,0.9,339,"2023/10/28 22:00:00",0.2,11.8,30,1,120.28676111,22.63390278,56
前鎮,高雄市,58,臭氧八小時,普通,1.7,0.26,58.5,57.3,28,17,8.7,9.4,0.6,1,334,"2023/10/28 22:00:00",0.2,14.6,27,1,120.30833356,22.6044507,57
小港,高雄市,54,臭氧八小時,普通,1,0.2,55.8,56.2,22,13,11.2,12.2,1,1.5,271,"2023/10/28 22:00:00",0.2,13.2,27,1,120.337736,22.565833,58
屏東,屏東縣,65,細懸浮微粒,普通,1.2,0.31,49.5,54.8,46,22,10,10.6,0.6,1,335,"2023/10/28 22:00:00",0.2,21.3,43,1,120.488033,22.673081,59
潮州,屏東縣,53,細懸浮微粒,普通,0.6,0.17,20.4,48.8,18,11,3.7,4.6,0.9,0.7,107,"2023/10/28 22:00:00",0.2,16.2,27,0,120.561175,22.523108,60
恆春,屏東縣,46,,良好,0.9,0.15,53.4,50.6,6,1,0.4,0.9,0.5,10.1,34,"2023/10/28 22:00:00",0.1,1.5,4,0,120.788928,21.958069,61
臺東,臺東縣,38,,良好,0.7,0.19,43.4,41,11,2,3.2,4.1,0.8,1.4,337,"2023/10/28 22:00:00",0.2,2.5,8,0,121.15045,22.755358,62
花蓮,花蓮縣,44,,良好,0.8,0.26,51.6,47.1,17,9,5.5,6,0.4,1.4,290,"2023/10/28 22:00:00",0.3,8.4,17,0,121.599769,23.971306,63
陽明,臺北市,61,臭氧八小時,普通,0.1,0.2,56.4,58.8,17,9,1.3,1.6,0.3,,,"2023/10/28 22:00:00",0.1,7.6,14,0,121.529583,25.182722,64
宜蘭,宜蘭縣,40,,良好,0.7,0.18,38,43,17,8,3.2,3.8,0.6,0.6,202,"2023/10/28 22:00:00",0.2,10.6,17,0,121.746394,24.747917,65
冬山,宜蘭縣,37,,良好,1.5,0.19,34.4,40.6,22,9,3.1,3.6,0.5,0.2,269,"2023/10/28 22:00:00",0.2,7.1,17,1,121.792928,24.632203,66
三重,新北市,52,二氧化氮,普通,1.1,0.95,17.3,19.6,21,13,33.9,55.8,21.8,-,-,"2023/10/28 22:00:00",0.9,15,23,0,121.493806,25.072611,67
中壢,桃園市,35,,良好,1.5,0.62,38.5,32.7,24,9,18.3,27,8.7,1,284,"2023/10/28 22:00:00",0.7,10.9,23,1,121.221667,24.953278,68
竹山,南投縣,110,細懸浮微粒,對敏感族群不健康,1.5,0.35,24.4,55.6,52,39,10.1,11.1,1,0.8,160,"2023/10/28 22:00:00",0.3,38.8,55,1,120.677306,23.756389,69
永和,新北市,47,,良好,0.6,0.36,43.4,46.9,19,17,9.9,11.5,1.6,1.4,78,"2023/10/28 22:00:00",0.3,14.5,19,0,121.516306,25.017,70
復興,高雄市,58,臭氧八小時,普通,0.6,0.3,55.4,57,27,13,8,7.8,0,0.7,274,"2023/10/28 22:00:00",0.3,13.3,28,0,120.312017,22.608711,71
埔里,南投縣,71,細懸浮微粒,普通,1.5,0.4,5.3,26,33,22,9.4,10.3,0.9,0.3,333,"2023/10/28 22:00:00",0.3,23.8,34,1,120.967903,23.968842,72
馬祖,連江縣,59,細懸浮微粒,普通,1.6,0.3,39.1,45.8,37,16,6.6,7,0.4,1.8,336,"2023/10/28 22:00:00",0.3,18.7,33,1,119.93149378,26.15188416,75
金門,金門縣,90,臭氧八小時,普通,1.9,0.33,56.6,67,36,19,7.1,7.6,0.4,1.7,26,"2023/10/28 22:00:00",0.3,21,36,1,118.312256,24.432133,77
馬公,澎湖縣,71,臭氧八小時,普通,0.7,0.18,61,61.9,12,10,1.5,2.1,0.6,4.9,26,"2023/10/28 22:00:00",0.1,10.3,10,0,119.566158,23.569031,78
關山,臺東縣,39,,良好,0.7,0.18,44.1,42.4,8,1,2.1,2.7,0.6,1.1,34,"2023/10/28 22:00:00",0.1,0.8,9,0,121.161933,23.045083,80
麥寮,雲林縣,54,臭氧八小時,普通,1.2,0.22,43.3,56.1,20,13,4.9,6.2,1.2,2.8,5,"2023/10/28 22:00:00",0.2,14,25,1,120.251825,23.753506,83
富貴角,新北市,67,臭氧八小時,普通,0.3,0.16,62.2,60.9,42,11,1,1,0,6.3,85,"2023/10/28 22:00:00",0.1,11.8,31,0,121.53656894,25.29681695,84
大城,彰化縣,61,臭氧八小時,普通,0.6,0.2,48.1,58.1,17,7,4.5,5.2,0.7,4.8,32,"2023/10/28 22:00:00",0.2,10.7,20,0,120.26964167,23.85493056,85
彰化(員林),彰化縣,67,細懸浮微粒,普通,1.6,0.44,11.8,36.2,27,17,17,19.2,2.1,0.4,310,"2023/10/28 22:00:00",0.4,22,39,2,120.56373,23.96117,201
高雄(湖內),高雄市,50,,良好,1.4,0.28,46.4,54.7,37,19,9.9,11.7,1.8,0.6,59,"2023/10/28 22:00:00",0.2,14.7,35,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,57,細懸浮微粒,普通,1,0.25,35.9,55.1,38,18,8.3,9.1,0.8,1.7,357,"2023/10/28 22:00:00",0.2,18,39,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,49,,良好,0.6,0.16,54.2,53.3,16,13,3.2,3.6,0.4,1.1,276,"2023/10/28 22:00:00",0.1,14.9,22,0,120.37722,22.35222,204
臺中(大甲),臺中市,42,,良好,0.9,0.31,18.7,26.7,26,16,11.6,12.2,0.5,1.2,42,"2023/10/28 22:00:00",0.2,12.9,19,0,120.65575,24.391,310
新北(樹林),新北市,39,,良好,0.5,0.24,41.7,39.7,20,10,10,11.2,1.1,1.1,166,"2023/10/28 22:00:00",0.2,12,19,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,39,,良好,0.1,0.17,44.1,42.6,3,0,1.8,1.8,0,2.2,83,"2023/10/28 22:00:00",0.1,0.5,4,0,120.651472,22.260899,313
